id,name,competition,points,rank,long_jump,x100m,shot_put,x400m
24,Sebrle,Decastar,8217,1,7.58,11.04,14.83,49.81
6,Clay,Decastar,8122,2,7.4,10.76,14.26,49.37
11,Karpov,Decastar,8099,3,7.3,11.02,14.77,48.37
3,Bernard,Decastar,8067,4,7.23,11.02,14.25,48.93
31,Yurkov,Decastar,8036,5,7.09,11.34,15.19,50.42
30,Warners,Decastar,8030,6,7.6,11.11,14.31,48.68
32,Zsivoczky,Decastar,8004,7,7.3,11.13,13.48,48.62
16,Mcmullen,Decastar,7995,8,7.31,10.83,13.76,49.91
15,Martineau,Decastar,7802,9,6.81,11.64,14.57,50.14
9,Hernu,Decastar,7733,10,7.56,11.37,14.41,51.1
2,Barras,Decastar,7708,11,6.97,11.33,14.09,49.48
17,Nool,Decastar,7651,12,7.27,11.33,12.68,49.2
4,Bourguignon,Decastar,7313,13,6.8,11.36,13.46,51.16
24,Sebrle,OlympicG,8893,1,7.84,10.85,16.36,48.36
6,Clay,OlympicG,8820,2,7.96,10.44,15.23,49.19
11,Karpov,OlympicG,8725,3,7.81,10.5,15.93,46.81
14,Macey,OlympicG,8414,4,7.47,10.89,15.73,48.97
30,Warners,OlympicG,8343,5,7.74,10.62,14.48,47.97
32,Zsivoczky,OlympicG,8287,6,7.14,10.91,15.31,49.4
9,Hernu,OlympicG,8237,7,7.19,10.97,14.65,48.73
17,Nool,OlympicG,8235,8,7.53,10.8,14.26,48.81
3,Bernard,OlympicG,8225,9,7.48,10.69,14.8,49.13
23,Schwarzl,OlympicG,8102,10,7.49,10.98,14.01,49.76
20,Pogorelov,OlympicG,8084,11,7.31,10.95,15.1,50.79
22,Schoenbeck,OlympicG,8077,12,7.3,10.9,14.77,50.3
2,Barras,OlympicG,8067,13,6.99,11.14,14.91,49.41
26,Smith,OlympicG,8023,14,6.81,10.85,15.24,49.27
1,Averyanov,OlympicG,8021,15,7.34,10.55,14.44,49.72
18,Ojaniemi,OlympicG,8006,16,7.5,10.68,14.97,49.12
25,Smirnov,OlympicG,7993,17,7.07,10.89,13.88,49.11
21,Qi,OlympicG,7934,18,7.34,11.06,13.55,49.65
7,Drews,OlympicG,7926,19,7.38,10.87,13.07,48.51
19,Parkhomenko,OlympicG,7918,20,6.61,11.14,15.69,51.04
27,Terek,OlympicG,7893,21,6.94,10.92,15.15,49.56
8,Gomez,OlympicG,7865,22,7.26,11.08,14.57,48.61
28,Turi,OlympicG,7708,23,6.91,11.08,13.62,51.67
13,Lorenzo,OlympicG,7592,24,7.03,11.1,13.22,49.34
10,Karlivans,OlympicG,7583,25,7.26,11.33,13.3,50.54
12,Korkizoglou,OlympicG,7573,26,7.07,10.86,14.81,51.16
29,Uldal,OlympicG,7495,27,6.99,11.23,13.53,50.95
5,Casarsa,OlympicG,7404,28,6.68,11.36,14.92,53.2
